"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1000","TC-05: Initiate Loan Application","entity-loan","2026-04-13","skipped","2026-04-13","","entity-loan","",""
"","1000","TC-06: Review and Finalise Verification","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-08: Verify Opportunity Status is Complete","personal-loan","2026-03-18","broken","2026-03-18","","personal-loan","",""
"","1000","TC-05: Initiate Loan Application","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-02: Pre-screening","entity-loan","2026-04-13","skipped","2026-04-13","","entity-loan","",""
"","1000","TC-07: Complete Onboarding Checklist","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-01: Create Individual Lead","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-05r: Director Resolution Signing","entity-loan","2026-04-13","skipped","2026-04-13","","entity-loan","",""
"","1000","TC-03: Edit Opportunity — Entity Info","entity-loan","2026-04-13","skipped","2026-04-13","","entity-loan","",""
"","1000","TC-03a: Add Directors","entity-loan","2026-04-13","skipped","2026-04-13","","entity-loan","",""
"","1000","TC-07: Onboarding Checklist","entity-loan","2026-04-13","skipped","2026-04-13","","entity-loan","",""
"","1000","TC-08: Verify Opportunity Status","entity-loan","2026-03-18","broken","2026-03-18","","entity-loan","",""
"","1000","TC-03b: Loan Info","entity-loan","2026-04-13","skipped","2026-04-13","","entity-loan","",""
"","1000","TC-03: Edit Client Info","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-05a: Negative — Initiate Without Amount","personal-loan","2026-03-19","passed","2026-03-19","","personal-loan","",""
"","1000","TC-04: Save & Verify","entity-loan","2026-04-13","skipped","2026-04-13","","entity-loan","",""
"","1000","TC-05c: Entity Consent Signing","entity-loan","2026-04-13","skipped","2026-04-13","","entity-loan","",""
"","1000","TC-06: Verification Review","entity-loan","2026-04-13","skipped","2026-04-13","","entity-loan","",""
"","1000","TC-04: Fill Loan Info","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-05c: Upload Individual Consent","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-05b: Negative — Initiate Without Product","personal-loan","2026-03-19","passed","2026-03-19","","personal-loan","",""
"","1000","TC-01: Create Entity Lead","entity-loan","2026-04-13","failed","2026-04-13","","entity-loan","",""
"","1000","TC-02: Initiate Pre-Screening","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
