"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","entity-loan","0","Initiate Loan Application","0","1","","0"
"0","personal-loan","0","Review and Finalise Verification","1","0","","0"
"1","personal-loan","0","Verify Opportunity Status is Complete","0","0","","0"
"0","personal-loan","0","Initiate Loan Application","1","0","","0"
"0","entity-loan","0","Pre-screening","0","1","","0"
"0","personal-loan","0","Complete Onboarding Checklist","1","0","","0"
"0","personal-loan","0","Create Individual Lead","1","0","","0"
"0","entity-loan","0","Director Resolution Signing","0","1","","0"
"0","entity-loan","0","Edit Opportunity — Entity Info","0","1","","0"
"0","entity-loan","0","Add Directors","0","1","","0"
"0","entity-loan","0","Onboarding Checklist","0","1","","0"
"1","entity-loan","0","Verify Opportunity Status","0","0","","0"
"0","entity-loan","0","Loan Info","0","1","","0"
"0","personal-loan","0","Edit Client Info","1","0","","0"
"0","personal-loan","0","Negative — Initiate Without Amount","1","0","","0"
"0","entity-loan","0","Save & Verify","0","1","","0"
"0","entity-loan","0","Entity Consent Signing","0","1","","0"
"0","entity-loan","0","Verification Review","0","1","","0"
"0","personal-loan","0","Fill Loan Info","1","0","","0"
"0","personal-loan","0","Upload Individual Consent","1","0","","0"
"0","personal-loan","0","Negative — Initiate Without Product","1","0","","0"
"0","entity-loan","1","Create Entity Lead","0","0","","0"
"0","personal-loan","0","Initiate Pre-Screening","1","0","","0"
